report_id,week_number,firm_rate,firm_id,last_changed_date,
140,202505,14.4,4,2025-04-24,
141,202505,12.8,5,2025-04-24,
142,202505,12.4,6,2025-04-24,
143,202505,12,7,2025-04-24,
144,202505,16.4,8,2025-04-24,
145,202505,13.7,9,2025-04-24,
146,202505,12.6,10,2025-04-24,
147,202505,6.9,11,2025-04-24,
148,202505,15.5,12,2025-04-24,
149,202505,12.1,13,2025-04-24,
150,202505,13.3,14,2025-04-24,
151,202505,12.3,15,2025-04-24,
152,202505,16.3,16,2025-04-24,
153,202505,12.4,17,2025-04-24,
154,202505,13.2,18,2025-04-24,
155,202505,11.6,19,2025-04-24,
156,202505,15.3,20,2025-04-24,
157,202505,15.3,21,2025-04-24,
158,202505,14,22,2025-04-24,
159,202505,15.2,23,2025-04-24,
160,202505,9.4,24,2025-04-24,
161,202505,11.9,25,2025-04-24,
162,202505,15.5,26,2025-04-24,
163,202505,12.6,27,2025-04-24,
164,202505,12.9,28,2025-04-24,
165,202505,12.9,29,2025-04-24,
166,202505,9.5,30,2025-04-24,
167,202505,10.5,31,2025-04-24,
168,202505,11.3,32,2025-04-24,
169,202505,9.5,33,2025-04-24,
170,202505,11.5,34,2025-04-24,
171,202506,10.6,1,2025-04-24,
172,202506,11.9,2,2025-04-24,
173,202506,11.2,3,2025-04-24,
174,202506,14.4,4,2025-04-24,
175,202506,12.9,5,2025-04-24,
176,202506,12.2,6,2025-04-24,
177,202506,11.9,7,2025-04-24,
178,202506,16.3,8,2025-04-24,
179,202506,13.7,9,2025-04-24,
180,202506,12.6,10,2025-04-24,
181,202506,6.9,11,2025-04-24,
182,202506,15.3,12,2025-04-24,
183,202506,11.2,13,2025-04-24,
184,202506,13.6,14,2025-04-24,
185,202506,13.6,15,2025-04-24,
186,202506,16.3,16,2025-04-24,
187,202506,12.1,17,2025-04-24,
188,202506,12.4,18,2025-04-24,
189,202506,11.6,19,2025-04-24,
190,202506,15,20,2025-04-24,
191,202506,15.2,21,2025-04-24,
192,202506,13.2,22,2025-04-24,
193,202506,15.2,23,2025-04-24,
194,202506,9.5,24,2025-04-24,
195,202506,11.9,25,2025-04-24,
196,202506,15.5,26,2025-04-24,
197,202506,12.5,27,2025-04-24,
198,202506,13.9,28,2025-04-24,
199,202506,13.2,29,2025-04-24,
200,202506,9.3,30,2025-04-24,
201,202506,0,31,2025-04-24,
202,202506,10.8,32,2025-04-24,
203,202506,9.1,33,2025-04-24,
204,202506,11.5,34,2025-04-24,
205,202507,10.6,1,2025-04-24,
206,202507,11.9,2,2025-04-24,
207,202507,11.3,3,2025-04-24,
208,202507,13.3,4,2025-04-24,
209,202507,13,5,2025-04-24,
210,202507,12,6,2025-04-24,
211,202507,12,7,2025-04-24,
212,202507,16.3,8,2025-04-24,
213,202507,13.4,9,2025-04-24,
214,202507,12.5,10,2025-04-24,
215,202507,6.8,11,2025-04-24,
216,202507,14.8,12,2025-04-24,
217,202507,11.1,13,2025-04-24,
218,202507,12.8,14,2025-04-24,
219,202507,13.8,15,2025-04-24,
220,202507,16.3,16,2025-04-24,
221,202507,11.9,17,2025-04-24,
222,202507,12.7,18,2025-04-24,
223,202507,11,19,2025-04-24,
224,202507,14.9,20,2025-04-24,
225,202507,15.2,21,2025-04-24,
226,202507,12.6,22,2025-04-24,
227,202507,15.2,23,2025-04-24,
228,202507,9.9,24,2025-04-24,
229,202507,11.9,25,2025-04-24,
230,202507,15.5,26,2025-04-24,
231,202507,12.4,27,2025-04-24,
232,202507,13.5,28,2025-04-24,
233,202507,12.7,29,2025-04-24,
234,202507,9.1,30,2025-04-24,
235,202507,9.7,31,2025-04-24,
236,202507,10.6,32,2025-04-24,
237,202507,9,33,2025-04-24,
238,202507,10.9,34,2025-04-24,
239,202508,10.9,1,2025-04-24,
240,202508,11,2,2025-04-24,
241,202508,13,3,2025-04-24,
242,202508,13.2,4,2025-04-24,
243,202508,12.9,5,2025-04-24,
244,202508,11.8,6,2025-04-24,
245,202508,12,7,2025-04-24,
246,202508,16.2,8,2025-04-24,
247,202508,13.1,9,2025-04-24,
248,202508,12.7,10,2025-04-24,
249,202508,6.8,11,2025-04-24,
250,202508,15,12,2025-04-24,
251,202508,12.1,13,2025-04-24,
252,202508,12.7,14,2025-04-24,
253,202508,13.7,15,2025-04-24,
254,202508,16.3,16,2025-04-24,
255,202508,11.9,17,2025-04-24,
256,202508,12.7,18,2025-04-24,
257,202508,11,19,2025-04-24,
258,202508,14.8,20,2025-04-24,
259,202508,14,21,2025-04-24,
260,202508,12.7,22,2025-04-24,
261,202508,15.2,23,2025-04-24,
262,202508,9.8,24,2025-04-24,
263,202508,12.2,25,2025-04-24,
264,202508,15.5,26,2025-04-24,
265,202508,12.6,27,2025-04-24,
266,202508,13.4,28,2025-04-24,
267,202508,12.5,29,2025-04-24,
268,202508,9.2,30,2025-04-24,
269,202508,9.5,31,2025-04-24,
270,202508,10.5,32,2025-04-24,
271,202508,8.9,33,2025-04-24,
272,202508,10.9,34,2025-04-24,
273,202509,10.9,1,2025-04-24,
274,202509,11,2,2025-04-24,
275,202509,12.2,3,2025-04-24,
276,202509,13.8,4,2025-04-24,
277,202509,12.8,5,2025-04-24,
278,202509,11.2,6,2025-04-24,
279,202509,11.8,7,2025-04-24,
280,202509,16.1,8,2025-04-24,
281,202509,12.5,9,2025-04-24,
282,202509,12.6,10,2025-04-24,
283,202509,6.8,11,2025-04-24,
284,202509,14.9,12,2025-04-24,
285,202509,12.1,13,2025-04-24,
286,202509,12.6,14,2025-04-24,
287,202509,13.3,15,2025-04-24,
288,202509,16.3,16,2025-04-24,
289,202509,11.7,17,2025-04-24,
290,202509,12,18,2025-04-24,
291,202509,11,19,2025-04-24,
292,202509,14.9,20,2025-04-24,
293,202509,14.9,21,2025-04-24,
294,202509,12.6,22,2025-04-24,
295,202509,15.2,23,2025-04-24,
296,202509,9.8,24,2025-04-24,
297,202509,12.4,25,2025-04-24,
298,202509,15.5,26,2025-04-24,
299,202509,12.6,27,2025-04-24,
300,202509,13.4,28,2025-04-24,
301,202509,12.3,29,2025-04-24,
302,202509,9.1,30,2025-04-24,
303,202509,7.5,31,2025-04-24,
304,202509,10.5,32,2025-04-24,
305,202509,8.9,33,2025-04-24,
306,202509,10.9,34,2025-04-24,
307,202510,10.68,1,2025-04-24,
308,202510,11.11,2,2025-04-24,
309,202510,12.26,3,2025-04-24,
310,202510,14.09,4,2025-04-24,
311,202510,12.75,5,2025-04-24,
312,202510,11.2,6,2025-04-24,
313,202510,11.86,7,2025-04-24,
314,202510,16.04,8,2025-04-24,
315,202510,12.38,9,2025-04-24,
316,202510,12.81,10,2025-04-24,
317,202510,6.83,11,2025-04-24,
318,202510,14.61,12,2025-04-24,
319,202510,12.17,13,2025-04-24,
320,202510,12.61,14,2025-04-24,
321,202510,12.8,15,2025-04-24,
322,202510,16.25,16,2025-04-24,
323,202510,11.43,17,2025-04-24,
324,202510,11.99,18,2025-04-24,
325,202510,11.2,19,2025-04-24,
326,202510,14.33,20,2025-04-24,
327,202510,14.66,21,2025-04-24,
328,202510,12.49,22,2025-04-24,
329,202510,15.24,23,2025-04-24,
330,202510,9.68,24,2025-04-24,
331,202510,11.95,25,2025-04-24,
332,202510,15.51,26,2025-04-24,
333,202510,12.5,27,2025-04-24,
334,202510,13.5,28,2025-04-24,
335,202510,12.32,29,2025-04-24,
336,202510,8.89,30,2025-04-24,
337,202510,7.31,31,2025-04-24,
338,202510,10.5,32,2025-04-24,
339,202510,8.9,33,2025-04-24,
340,202510,10.9,34,2025-04-24,
341,202511,10.7,1,2025-04-24,
342,202511,11.1,2,2025-04-24,
343,202511,12,3,2025-04-24,
344,202511,14,4,2025-04-24,
345,202511,12.6,5,2025-04-24,
346,202511,11.2,6,2025-04-24,
347,202511,11.5,7,2025-04-24,
348,202511,15.7,8,2025-04-24,
349,202511,12.4,9,2025-04-24,
350,202511,12.8,10,2025-04-24,
351,202511,3.7,11,2025-04-24,
352,202511,14.3,12,2025-04-24,
353,202511,11.7,13,2025-04-24,
354,202511,12.4,14,2025-04-24,
355,202511,12.3,15,2025-04-24,
356,202511,16.3,16,2025-04-24,
357,202511,11.3,17,2025-04-24,
358,202511,11.8,18,2025-04-24,
359,202511,11.4,19,2025-04-24,
360,202511,14.1,20,2025-04-24,
361,202511,14.3,21,2025-04-24,
362,202511,12.4,22,2025-04-24,
363,202511,11.1,23,2025-04-24,
364,202511,9.7,24,2025-04-24,
365,202511,11.8,25,2025-04-24,
366,202511,13.1,26,2025-04-24,
367,202511,12.5,27,2025-04-24,
368,202511,13.4,28,2025-04-24,
369,202511,12,29,2025-04-24,
370,202511,7.8,30,2025-04-24,
371,202511,7.2,31,2025-04-24,
372,202511,10.5,32,2025-04-24,
373,202511,8.9,33,2025-04-24,
374,202511,11.1,34,2025-04-24,
375,202512,10.7,1,2025-04-24,
376,202512,10.7,2,2025-04-24,
377,202512,12.4,3,2025-04-24,
378,202512,14,4,2025-04-24,
379,202512,12.5,5,2025-04-24,
380,202512,11.2,6,2025-04-24,
381,202512,11.5,7,2025-04-24,
382,202512,15.6,8,2025-04-24,
383,202512,12.3,9,2025-04-24,
384,202512,12.9,10,2025-04-24,
385,202512,5.8,11,2025-04-24,
386,202512,14.1,12,2025-04-24,
387,202512,11.7,13,2025-04-24,
388,202512,12.2,14,2025-04-24,
389,202512,11.9,15,2025-04-24,
390,202512,16.3,16,2025-04-24,
391,202512,11.3,17,2025-04-24,
392,202512,11.7,18,2025-04-24,
393,202512,11,19,2025-04-24,
394,202512,14.2,20,2025-04-24,
395,202512,14,21,2025-04-24,
396,202512,12,22,2025-04-24,
397,202512,11.1,23,2025-04-24,
398,202512,9.7,24,2025-04-24,
399,202512,11.8,25,2025-04-24,
400,202512,13.1,26,2025-04-24,
401,202512,12.5,27,2025-04-24,
402,202512,12.7,28,2025-04-24,
403,202512,11.9,29,2025-04-24,
404,202512,8.8,30,2025-04-24,
405,202512,7.6,31,2025-04-24,
406,202512,10.5,32,2025-04-24,
407,202512,8.8,33,2025-04-24,
408,202512,11.1,34,2025-04-24,
409,202513,10.7,1,2025-04-24,
410,202513,11.2,2,2025-04-24,
411,202513,12.4,3,2025-04-24,
412,202513,14,4,2025-04-24,
413,202513,12.6,5,2025-04-24,
414,202513,11.2,6,2025-04-24,
415,202513,11.4,7,2025-04-24,
416,202513,15.1,8,2025-04-24,
417,202513,12.1,9,2025-04-24,
418,202513,12.7,10,2025-04-24,
419,202513,5.9,11,2025-04-24,
420,202513,14.1,12,2025-04-24,
421,202513,11.7,13,2025-04-24,
422,202513,11.6,14,2025-04-24,
423,202513,11,15,2025-04-24,
424,202513,16.3,16,2025-04-24,
425,202513,11.2,17,2025-04-24,
426,202513,12.1,18,2025-04-24,
427,202513,10.9,19,2025-04-24,
428,202513,14,20,2025-04-24,
429,202513,13.8,21,2025-04-24,
430,202513,12.3,22,2025-04-24,
431,202513,10.8,23,2025-04-24,
432,202513,9.7,24,2025-04-24,
433,202513,12.2,25,2025-04-24,
434,202513,13.1,26,2025-04-24,
435,202513,12.4,27,2025-04-24,
436,202513,13.4,28,2025-04-24,
437,202513,11.9,29,2025-04-24,
438,202513,8.1,30,2025-04-24,
439,202513,7.5,31,2025-04-24,
440,202513,10.4,32,2025-04-24,
441,202513,8.8,33,2025-04-24,
442,202513,10.8,34,2025-04-24,
443,202514,10.5,1,2025-04-24,
444,202514,11.2,2,2025-04-24,
445,202514,12.3,3,2025-04-24,
446,202514,12.5,4,2025-04-24,
447,202514,12.5,5,2025-04-24,
448,202514,11.2,6,2025-04-24,
449,202514,11.5,7,2025-04-24,
450,202514,14.9,8,2025-04-24,
451,202514,12.1,9,2025-04-24,
452,202514,12.7,10,2025-04-24,
453,202514,5.7,11,2025-04-24,
454,202514,14.1,12,2025-04-24,
455,202514,11.7,13,2025-04-24,
456,202514,11.5,14,2025-04-24,
457,202514,10,15,2025-04-24,
458,202514,16.3,16,2025-04-24,
