report_id,week_number,firm_rate,firm_id,last_changed_date
120,202504,13.2,18,4/24/2025
121,202504,11.9,19,4/24/2025
122,202504,15.3,20,4/24/2025
123,202504,15.7,21,4/24/2025
124,202504,12.8,22,4/24/2025
125,202504,15.2,23,4/24/2025
126,202504,10.3,24,4/24/2025
127,202504,11.9,25,4/24/2025
128,202504,15.5,26,4/24/2025
129,202504,12.2,27,4/24/2025
130,202504,13.6,28,4/24/2025
131,202504,13.5,29,4/24/2025
132,202504,10,30,4/24/2025
133,202504,11.7,31,4/24/2025
134,202504,11.3,32,4/24/2025
135,202504,9.5,33,4/24/2025
136,202504,11.5,34,4/24/2025
137,202505,11,1,4/24/2025
138,202505,11.9,2,4/24/2025
139,202505,11.3,3,4/24/2025
140,202505,14.4,4,4/24/2025
141,202505,12.8,5,4/24/2025
142,202505,12.4,6,4/24/2025
143,202505,12,7,4/24/2025
144,202505,16.4,8,4/24/2025
145,202505,13.7,9,4/24/2025
146,202505,12.6,10,4/24/2025
147,202505,6.9,11,4/24/2025
148,202505,15.5,12,4/24/2025
149,202505,12.1,13,4/24/2025
150,202505,13.3,14,4/24/2025
151,202505,12.3,15,4/24/2025
152,202505,16.3,16,4/24/2025
153,202505,12.4,17,4/24/2025
154,202505,13.2,18,4/24/2025
155,202505,11.6,19,4/24/2025
156,202505,15.3,20,4/24/2025
157,202505,15.3,21,4/24/2025
158,202505,14,22,4/24/2025
159,202505,15.2,23,4/24/2025
160,202505,9.4,24,4/24/2025
161,202505,11.9,25,4/24/2025
162,202505,15.5,26,4/24/2025
163,202505,12.6,27,4/24/2025
164,202505,12.9,28,4/24/2025
165,202505,12.9,29,4/24/2025
166,202505,9.5,30,4/24/2025
167,202505,10.5,31,4/24/2025
168,202505,11.3,32,4/24/2025
169,202505,9.5,33,4/24/2025
170,202505,11.5,34,4/24/2025
171,202506,10.6,1,4/24/2025
172,202506,11.9,2,4/24/2025
173,202506,11.2,3,4/24/2025
174,202506,14.4,4,4/24/2025
175,202506,12.9,5,4/24/2025
176,202506,12.2,6,4/24/2025
177,202506,11.9,7,4/24/2025
178,202506,16.3,8,4/24/2025
179,202506,13.7,9,4/24/2025
180,202506,12.6,10,4/24/2025
181,202506,6.9,11,4/24/2025
182,202506,15.3,12,4/24/2025
183,202506,11.2,13,4/24/2025
184,202506,13.6,14,4/24/2025
185,202506,13.6,15,4/24/2025
186,202506,16.3,16,4/24/2025
187,202506,12.1,17,4/24/2025
188,202506,12.4,18,4/24/2025
189,202506,11.6,19,4/24/2025
190,202506,15,20,4/24/2025
191,202506,15.2,21,4/24/2025
192,202506,13.2,22,4/24/2025
193,202506,15.2,23,4/24/2025
194,202506,9.5,24,4/24/2025
195,202506,11.9,25,4/24/2025
196,202506,15.5,26,4/24/2025
197,202506,12.5,27,4/24/2025
198,202506,13.9,28,4/24/2025
199,202506,13.2,29,4/24/2025
200,202506,9.3,30,4/24/2025
201,202506,0,31,4/24/2025
202,202506,10.8,32,4/24/2025
203,202506,9.1,33,4/24/2025
204,202506,11.5,34,4/24/2025
205,202507,10.6,1,4/24/2025
206,202507,11.9,2,4/24/2025
207,202507,11.3,3,4/24/2025
208,202507,13.3,4,4/24/2025
209,202507,13,5,4/24/2025
210,202507,12,6,4/24/2025
211,202507,12,7,4/24/2025
212,202507,16.3,8,4/24/2025
213,202507,13.4,9,4/24/2025
214,202507,12.5,10,4/24/2025
215,202507,6.8,11,4/24/2025
216,202507,14.8,12,4/24/2025
217,202507,11.1,13,4/24/2025
218,202507,12.8,14,4/24/2025
219,202507,13.8,15,4/24/2025
220,202507,16.3,16,4/24/2025
221,202507,11.9,17,4/24/2025
222,202507,12.7,18,4/24/2025
223,202507,11,19,4/24/2025
224,202507,14.9,20,4/24/2025
225,202507,15.2,21,4/24/2025
226,202507,12.6,22,4/24/2025
227,202507,15.2,23,4/24/2025
228,202507,9.9,24,4/24/2025
229,202507,11.9,25,4/24/2025
230,202507,15.5,26,4/24/2025
231,202507,12.4,27,4/24/2025
232,202507,13.5,28,4/24/2025
233,202507,12.7,29,4/24/2025
234,202507,9.1,30,4/24/2025
235,202507,9.7,31,4/24/2025
236,202507,10.6,32,4/24/2025
237,202507,9,33,4/24/2025
238,202507,10.9,34,4/24/2025
239,202508,10.9,1,4/24/2025
240,202508,11,2,4/24/2025
241,202508,13,3,4/24/2025
242,202508,13.2,4,4/24/2025
243,202508,12.9,5,4/24/2025
244,202508,11.8,6,4/24/2025
245,202508,12,7,4/24/2025
246,202508,16.2,8,4/24/2025
247,202508,13.1,9,4/24/2025
248,202508,12.7,10,4/24/2025
249,202508,6.8,11,4/24/2025
250,202508,15,12,4/24/2025
251,202508,12.1,13,4/24/2025
252,202508,12.7,14,4/24/2025
253,202508,13.7,15,4/24/2025
254,202508,16.3,16,4/24/2025
255,202508,11.9,17,4/24/2025
256,202508,12.7,18,4/24/2025
257,202508,11,19,4/24/2025
258,202508,14.8,20,4/24/2025
259,202508,14,21,4/24/2025
260,202508,12.7,22,4/24/2025
261,202508,15.2,23,4/24/2025
262,202508,9.8,24,4/24/2025
263,202508,12.2,25,4/24/2025
264,202508,15.5,26,4/24/2025
265,202508,12.6,27,4/24/2025
